,JID,Jurisdiction,Precinct,Precinct Description,Polling Place Name,Description,Address Line 1,Address Line 2,City,State,Zip,Accessible,lon,lat
3203,105,City of Chicago,2249,PRECINCT 22 WARD 49,ST PAULS BY THE LAKE,CHURCH,7100 NASHLAND AVE,-1,Chicago,-1.0,60626,Y,-87.67044589999999,42.01181400000001
3204,105,City of Chicago,2308,PRECINCT 23 WARD 8,HAROLD WASHINGTON SCHOOL,PUBLIC SCHOOL,9130 SUNIVERSITY AVE,-1,Chicago,-1.0,60619,Y,-87.5966497,41.728524
3205,105,City of Chicago,2436,PRECINCT 24 WARD 36,STEINMETZ SCHOOL,PUBLIC SCHOOL,3030 NMOBILE AVE,-1,Chicago,-1.0,60634,Y,-87.7834044,41.935833
3206,105,City of Chicago,2539,PRECINCT 25 WARD 39,KOREAN MARTYRS CATHOLIC CHURCH,CHURCH,4115 NKEDVALE AVE,-1,Chicago,-1.0,60641,N,-87.7304594,41.9561387
3207,105,City of Chicago,2718,PRECINCT 27 WARD 18,MARQUETTE PARK,PARK DISTRICT FIELD HOUSE,6734 SKEDZIE AVE,-1,Chicago,-1.0,60629,Y,-87.7030721,41.7706044
3208,105,City of Chicago,2734,PRECINCT 27 WARD 34,THE HOLLAND HOME,APARTMENT BUILDING,240 W107TH PL,-1,Chicago,-1.0,60628,Y,-87.6292416,41.69914929999999
3209,105,City of Chicago,2749,PRECINCT 27 WARD 49,LOYOLA PARK,PARK DISTRICT FIELD HOUSE,1230 WGREENLEAF AVE,-1,Chicago,-1.0,60626,Y,-87.660213,42.0106674
3210,105,City of Chicago,2805,PRECINCT 28 WARD 5,ABJ COMMUNITY SVCS,PUBLIC CENTER,1818 E71ST ST,-1,Chicago,-1.0,60649,Y,-87.58042139999999,41.7665641
3211,105,City of Chicago,2935,PRECINCT 29 WARD 35,SPIRA HAUGAN SCHOOL,PUBLIC SCHOOL,3729 WLELAND AVE,-1,Chicago,-1.0,60618,Y,-87.7218024,41.96630390000001
3212,105,City of Chicago,2944,PRECINCT 29 WARD 44,AGASSIZ SCHOOL,PUBLIC SCHOOL,2851 NSEMINARY AVE,-1,Chicago,-1.0,60657,Y,-87.6557259,41.93397909999999
3213,105,City of Chicago,3044,PRECINCT 30 WARD 44,SHEIL PARK,PARK DISTRICT FIELD HOUSE,3505 NSOUTHPORT AVE,-1,Chicago,-1.0,60657,Y,-87.663809,41.9455652
3214,105,City of Chicago,3105,PRECINCT 31 WARD 5,OKEEFE SCHOOL,PUBLIC SCHOOL,6940 SMERRILL AVE,-1,Chicago,-1.0,60649,Y,-87.5730945,41.7686967
3215,105,City of Chicago,3121,PRECINCT 31 WARD 21,WEST CHATHAM PARK,PARK DISTRICT FIELD HOUSE,8223 SPRINCETON AVE,-1,Chicago,-1.0,60620,Y,-87.6319177,41.7446685
3216,105,City of Chicago,330,PRECINCT 3 WARD 30,REILLY SCHOOL,PUBLIC SCHOOL,3650 WSCHOOL ST,-1,Chicago,-1.0,60618,Y,-87.71925089999999,41.94126250000001
3217,105,City of Chicago,341,PRECINCT 3 WARD 41,SAINT MONICA PARISH,CHURCH,5115 NMONT CLARE AVE,-1,Chicago,-1.0,60656,Y,-87.8043038,41.9746411
3218,105,City of Chicago,3642,PRECINCT 36 WARD 42,LOCAL #134 I B E W,BUSINESS,600 WWASHINGTON BV,-1,Chicago,-1.0,60661,Y,-87.6430826,41.8833715
3219,105,City of Chicago,3920,PRECINCT 39 WARD 20,URBAN PREP/TEAM ENGLEWOOD,PUBLIC SCHOOL,6201 SSTEWART AVE,-1,Chicago,-1.0,60621,Y,-87.63429,41.7819948
3220,105,City of Chicago,4034,PRECINCT 40 WARD 34,WHITE PARK,PARK DISTRICT FIELD HOUSE,1120 W122ND ST,-1,Chicago,-1.0,60643,Y,-87.6500203,41.6726793
3221,105,City of Chicago,4147,PRECINCT 41 WARD 47,GERMAN SCHOOL OF CHICAGO,SCHOOL PRIVATE,1447 WMONTROSE AVE,-1,Chicago,-1.0,60613,Y,-87.66697479999999,41.9613354
3222,105,City of Chicago,431,PRECINCT 4 WARD 31,OUR LADY OF GRACE CHURCH,CHURCH,2446 NRIDGEWAY AVE,-1,Chicago,-1.0,60647,N,-87.7209943,41.9258225
3223,105,City of Chicago,717,PRECINCT 7 WARD 17,MARQUETTE SCHOOL,PUBLIC SCHOOL,6550 SRICHMOND ST,-1,Chicago,-1.0,60616,Y,-87.69735899999999,41.7745537
3224,105,City of Chicago,720,PRECINCT 7 WARD 20,WASHINGTON SCENE APTS,APARTMENT BUILDING,6001 SVERNON AVE,-1,Chicago,-1.0,60637,Y,-87.6141007,41.7854107
3225,105,City of Chicago,1028,PRECINCT 10 WARD 28,STEM ACADEMY,PUBLIC SCHOOL,1522 WFILLMORE ST,-1,Chicago,-1.0,60607,Y,-87.664863,41.8686648
3226,105,City of Chicago,1108,PRECINCT 11 WARD 8,HAVEN TOWERS,SENIOR RESIDENCE,7947 SSOUTH CHICAGO,-1,Chicago,-1.0,60617,Y,-87.58394849999999,41.7507897
3227,105,City of Chicago,1119,PRECINCT 11 WARD 19,MT GREENWOOD PARK,PARK DISTRICT FIELD HOUSE,3721 W111TH ST,-1,Chicago,-1.0,60655,Y,-87.7137266,41.6907044
3228,105,City of Chicago,128,PRECINCT 1 WARD 28,COMMUNITY FELLOWSHIP M B CHURCH,CHURCH,4817 WMADISON ST,-1,Chicago,-1.0,60644,Y,-87.7459696,41.8803266
3229,105,City of Chicago,131,PRECINCT 1 WARD 31,KELVYN PK HIGH SCHOOL,PUBLIC SCHOOL,4343 WWRIGHTWOOD AVE,-1,Chicago,-1.0,60639,Y,-87.7359639,41.9272439
3230,105,City of Chicago,140,PRECINCT 1 WARD 40,CHICAGO POLICE STATION,POLICE STATION,5400 NLINCOLN AVE,-1,Chicago,-1.0,60625,Y,-87.6930878,41.9803621
3231,105,City of Chicago,143,PRECINCT 1 WARD 43,LASALLE SCHOOL,PUBLIC SCHOOL,1734 NORLEANS ST,-1,Chicago,-1.0,60614,Y,-87.6378393,41.9138023
3232,105,City of Chicago,1530,PRECINCT 15 WARD 30,EMPTY STORE FRONT,BUSINESS,3807 NPULASKI RD,-1,Chicago,-1.0,60641,Y,-87.7272862,41.9503592
3233,105,City of Chicago,1536,PRECINCT 15 WARD 36,MESSIAH LUTHERAN CHURCH,CHURCH,6201 WPATTERSON AVE,-1,Chicago,-1.0,60634,Y,-87.78169729999999,41.9463354
